cmtid,itemid,rating_star,comment,modelid,model_name,filter,anonymous,origin_region,region,ctime,submit_time
14944751637,22489557572,5,"Sản phẩm rất tuyệt vời mn nên mua ạ. Mình đặt hộ em trai mà nó đi vừa quá trời,mn nên đặt lên một size nha, em mình ở ngoài đi 39 hơi lỏng mà dép này lên size 40 vừa in luôn. Sản phẩm rất đáng mua nha mn",184956190789,"Quai trắng đế đen,Size 41",1,False,vn,VN,1713666665,1713666665
15046731709,22489557572,5,Nhận được hàng ưng lắm lun ý đúng siz với giá tiền như vầy mà đc chất lượng quá oke lun ấy hốt đi mn ko sau này giá lên 😂,184956190792,"Quai trắng đế đen,Size 38",1,False,vn,VN,1714554523,1714554523
14961506682,22489557572,5,Nhận được hàng ưng lắm lun ý đúng siz với giá tiền như vầy mà đc chất lượng quá oke lun ấy hốt đi mn ko sau này giá lên 😂,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1713794579,1713794579
14813283494,22489557572,5,sp oke nma có lỗi tí mực ở phần đầu.mới đầu trắng này nma đi 1 tgian bị bẩn ko biết có đánh đc ko nch ổn nên mu,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712414615,1712414615
14875325940,22489557572,5,"Tưởng giao lâu mà nhanh quá ạ, vừa chân nữ, nam đi có lẽ lên 1 size là quá đẹp nhưng như này là ưng lắm rồi nè.",184956190800,"Full đen,Size 43",1,False,vn,VN,1713012501,1713012501
14819870262,22489557572,5,"Tưởng giao lâu mà nhanh quá ạ, vừa chân nữ, nam đi có lẽ lên 1 size là quá đẹp nhưng như này là ưng lắm rồi nè.",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712472658,1712472658
14713041918,22489557572,5,"Tưởng giao lâu mà nhanh quá ạ, vừa chân nữ, nam đi có lẽ lên 1 size là quá đẹp nhưng như này là ưng lắm rồi nè.",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1711791136,1711791136
15167605143,22489557572,5,Hàng ok trong tầm gia. Mua đi choi di trong nhà cũng tiện.sẽ ủng hộ shop nữa mọi người nên mua,184956190805,"Full đen,Size 41",1,False,vn,VN,1715498863,1715498863
14822554198,22489557572,5,Ưng thật sự dép đẹp xĩu mang lên êm chân lắm mhoong có điểm gì để chê cả đáng tiền lắm nên mua nhe,184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712485726,1712485726
14944595138,22489557572,5,Khuyên mọi người mua tăng lên một size con thích đi rộng thì tăng lên hai size nhé khuyên thật lòng￼￼￼￼,184956190789,"Quai trắng đế đen,Size 41",1,False,vn,VN,1713665408,1713665408
14945240671,22489557572,5,Khuyên mọi người mua tăng lên một size con thích đi rộng thì tăng lên hai size nhé khuyên thật lòng￼￼￼￼,184956190789,"Quai trắng đế đen,Size 41",1,False,vn,VN,1713670296,1713670296
14916048781,22489557572,5,Dép đẹp ok đúng mô tả ảnh 5 sao sản phẩm chất lượng giá như vậy mà dép thế ok rồi,184956190808,"Quai đen đế trắng,Size 43",1,False,vn,VN,1713423790,1713423790
14937068238,22489557572,5,"Đúng với mô tả:dép đúng vs hình

Sản phẩm ok",184956190798,"Quai đen đế trắng,Size 42",1,False,vn,VN,1713594528,1713594528
14816082310,22489557572,5,"Thank ciuu bạn đã tin tưởng ủng hộ và để lại feedback cho shop ạ🥰 Niềm tin b dành cho shop là 1 động lực lớn giúp shop cải thiện ngày một phát triển hơn. Shop chúc b cùng gđ luôn vui tươi, mạnh khoẻ, hạnh phúc và gặp nhiều may mắn nhaaaaa❤️❤️",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712450235,1712450235
14820412601,22489557572,5,"Thank ciuu bạn đã tin tưởng ủng hộ và để lại feedback cho shop ạ🥰 Niềm tin b dành cho shop là 1 động lực lớn giúp shop cải thiện ngày một phát triển hơn. Shop chúc b cùng gđ luôn vui tươi, mạnh khoẻ, hạnh phúc và gặp nhiều may mắn nhaaaaa❤️❤️",184956190790,"Quai trắng đế đen,Size 37",1,False,vn,VN,1712475273,1712475273
14944182378,22489557572,5,"rất đẹp, rẻ, sản phẩm hợp thời trang rất ưng và sẽ ủng hộ shop tiếp nên giữ cẩn thận tránh bị bẩn",184956190789,"Quai trắng đế đen,Size 41",1,False,vn,VN,1713661375,1713661375
14944460689,22489557572,5,"Cỡ giày dép là một chỉ thị bằng số và chữ về độ khít của giày dép đối với bàn chân của mỗi người. Thông thường, nó chỉ bao gồm một số chỉ ra độ dài do nhiều nhà sản xuất giày dép chỉ cung cấp một độ dài tiêu chuẩn vì lý do các kinh tế. Có một vài hệ thống kích cỡ giày dép khác nhau được sử dụng trên",184956190789,"Quai trắng đế đen,Size 41",1,False,vn,VN,1713664200,1713664200
14880665136,22489557572,5,"Cỡ giày dép là một chỉ thị bằng số và chữ về độ khít của giày dép đối với bàn chân của mỗi người. Thông thường, nó chỉ bao gồm một số chỉ ra độ dài do nhiều nhà sản xuất giày dép chỉ cung cấp một độ dài tiêu chuẩn vì lý do các kinh tế. Có một vài hệ thống kích cỡ giày dép khác nhau được sử dụng trên",184956190800,"Full đen,Size 43",1,False,vn,VN,1713083892,1713083892
15276263701,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716438465,1716438465
15246219254,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174572,1716174572
15246473985,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716176271,1716176271
15246407278,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716175829,1716175829
15249231314,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716193018,1716193018
15246237268,22489557572,5,,184956190792,"Quai trắng đế đen,Size 38",0,False,vn,VN,1716174693,1716174693
15248742331,22489557572,5,,184956190789,"Quai trắng đế đen,Size 41",0,False,vn,VN,1716190047,1716190047
15249402574,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716194064,1716194064
15246280859,22489557572,5,,184956190791,"Full đen,Size 37",0,False,vn,VN,1716174983,1716174983
15249370838,22489557572,5,,184956190793,"Quai đen đế trắng,Size 40",0,False,vn,VN,1716193874,1716193874
